"time","down.sawtooth","up.sawtooth"
18.152,0.5980000018750878,-0.05199999981961697
18.154,0.5960000018750889,-0.05399999981961586
18.156,0.5940000018750901,-0.05599999981961475
18.158,0.5920000018750876,-0.0579999998196172
18.16,0.5900000018750887,-0.05999999981961608
18.162,0.5880000018750898,-0.06199999981961497
18.164,0.5860000018750874,-0.06399999981961742
18.166,0.5840000018750885,-0.06599999981961631
18.168,0.5820000018750896,-0.0679999998196152
18.17,0.5800000018750872,-0.06999999981961764
18.172,0.5780000018750883,-0.07199999981961654
18.174,0.5760000018750894,-0.07399999981961543
18.176,0.5740000018750905,-0.07599999981961432
18.178,0.572000001875088,-0.07799999981961676
18.18,0.5700000018750891,-0.07999999981961566
18.182,0.5680000018750903,-0.08199999981961455
18.184,0.5660000018750878,-0.08399999981961699
18.186,0.5640000018750889,-0.08599999981961588
18.188,0.56200000187509,-0.08799999981961477
18.19,0.5600000018750876,-0.08999999981961722
18.192,0.5580000018750887,-0.09199999981961611
18.194,0.5560000018750898,-0.093999999819615
18.196,0.5540000018750874,-0.09599999981961745
18.198,0.5520000018750885,-0.09799999981961634
18.2,0.5500000018750896,-0.09999999981961523
18.202,0.5480000018750871,-0.1019999998196177
18.204,0.5460000018750882,-0.1039999998196166
18.206,0.5440000018750893,-0.1059999998196155
18.208,0.5420000018750905,-0.1079999998196143
18.21,0.540000001875088,-0.1099999998196168
18.212,0.5380000018750881,-0.1119999998196167
18.214,0.5360000018750892,-0.1139999998196156
18.216,0.5340000018750868,-0.1159999998196181
18.218,0.5320000018750879,-0.117999999819617
18.22,0.530000001875089,-0.1199999998196158
18.222,0.5280000018750866,-0.1219999998196183
18.224,0.5260000018750877,-0.1239999998196172
18.226,0.5240000018750888,-0.1259999998196161
18.228,0.5220000018750863,-0.1279999998196185
18.23,0.5200000018750874,-0.1299999998196174
18.232,0.5180000018750885,-0.1319999998196163
18.234,0.5160000018750861,-0.1339999998196187
18.236,0.5140000018750872,-0.1359999998196176
18.238,0.5120000018750883,-0.1379999998196165
18.24,0.5100000018750894,-0.1399999998196154
18.24,0.5100000018750894,-0.1399999998196154
18.242,0.5080000018750868,-0.1419999998196181
18.244,0.506000001875089,-0.1439999998196158
18.246,0.5040000018750889,-0.145999999819616
18.248,0.5020000018750864,-0.1479999998196184
18.25,0.5000000018750875,-0.1499999998196173
18.252,0.4980000018750896,-0.1519999998196153
18.254,0.4960000018750871,-0.1539999998196177
18.256,0.4940000018750882,-0.1559999998196166
18.258,0.4920000018750894,-0.1579999998196155
18.26,0.4900000018750869,-0.1599999998196179
18.262,0.488000001875088,-0.1619999998196168
18.264,0.4860000018750875,-0.1639999998196173
18.266,0.4840000018750886,-0.1659999998196162
18.268,0.4820000018750862,-0.1679999998196187
18.27,0.4800000018750873,-0.1699999998196176
18.272,0.4780000018750884,-0.1719999998196164
18.274,0.476000001875086,-0.1739999998196189
18.276,0.4740000018750871,-0.1759999998196178
18.278,0.4720000018750882,-0.1779999998196167
18.28,0.4700000018750857,-0.1799999998196191
18.282,0.4680000018750868,-0.181999999819618
18.284,0.4660000018750879,-0.1839999998196169
18.286,0.4640000018750858,-0.185999999819619
18.288,0.4620000018750869,-0.1879999998196179
18.29,0.460000001875088,-0.1899999998196168
18.292,0.4580000018750856,-0.1919999998196192
18.294,0.4560000018750867,-0.1939999998196181
18.296,0.4540000018750878,-0.195999999819617
18.298,0.4520000018750889,-0.1979999998196159
18.3,0.4500000018750865,-0.1999999998196183
18.302,0.4480000018750876,-0.2019999998196172
18.304,0.4460000018750887,-0.2039999998196161
18.306,0.4440000018750863,-0.2059999998196186
18.308,0.4420000018750874,-0.2079999998196174
18.31,0.4400000018750885,-0.2099999998196163
18.312,0.438000001875086,-0.2119999998196188
18.314,0.4360000018750871,-0.2139999998196177
18.316,0.4340000018750882,-0.2159999998196166
18.318,0.4320000018750858,-0.217999999819619
18.32,0.4300000018750869,-0.2199999998196179
18.322,0.428000001875088,-0.2219999998196168
18.324,0.4260000018750856,-0.2239999998196192
18.326,0.4240000018750867,-0.2259999998196181
18.328,0.4220000018750878,-0.227999999819617
18.33,0.4200000018750896,-0.2299999998196152
18.332,0.4180000018750872,-0.2319999998196177
18.334,0.4160000018750883,-0.2339999998196166
18.336,0.4140000018750894,-0.2359999998196154
18.338,0.412000001875087,-0.2379999998196179
18.34,0.4100000018750881,-0.2399999998196168
18.342,0.4080000018750892,-0.2419999998196157
18.344,0.4060000018750867,-0.2439999998196181
18.346,0.4040000018750878,-0.245999999819617
18.348,0.4020000018750889,-0.2479999998196159
18.35,0.4000000018750865,-0.2499999998196183
18.352,0.3980000018750876,-0.2519999998196172
18.354,0.3960000018750887,-0.2539999998196161
18.356,0.3940000018750863,-0.2559999998196186
18.358,0.3920000018750874,-0.2579999998196175
18.36,0.3900000018750885,-0.2599999998196164
18.362,0.3880000018750896,-0.2619999998196152
18.364,0.3860000018750872,-0.2639999998196177
18.366,0.3840000018750883,-0.2659999998196166
18.368,0.3820000018750894,-0.2679999998196155
18.37,0.3800000018750869,-0.2699999998196179
18.372,0.378000001875088,-0.2719999998196168
18.374,0.3760000018750891,-0.2739999998196157
18.376,0.3740000018750867,-0.2759999998196181
18.378,0.3720000018750878,-0.277999999819617
18.38,0.3700000018750889,-0.2799999998196159
18.382,0.3680000018750865,-0.2819999998196184
18.384,0.3660000018750876,-0.2839999998196173
18.386,0.3640000018750887,-0.2859999998196162
18.388,0.3620000018750862,-0.2879999998196186
18.39,0.3600000018750873,-0.2899999998196175
18.392,0.3580000018750885,-0.2919999998196164
18.394,0.3560000018750896,-0.2939999998196153
18.396,0.3540000018750871,-0.2959999998196177
18.398,0.3520000018750882,-0.2979999998196166
18.4,0.3500000018750893,-0.2999999998196155
18.402,0.3480000018750869,-0.3019999998196179
18.404,0.346000001875088,-0.3039999998196168
18.406,0.3440000018750891,-0.3059999998196157
18.408,0.3420000018750867,-0.3079999998196182
18.41,0.3400000018750878,-0.3099999998196171
18.412,0.3380000018750889,-0.311999999819616
18.414,0.3360000018750864,-0.3139999998196184
18.416,0.3340000018750875,-0.3159999998196173
18.418,0.3320000018750887,-0.3179999998196162
18.42,0.3300000018750877,-0.3199999998196172
18.422,0.3280000018750888,-0.3219999998196161
18.424,0.3260000018750899,-0.323999999819615
18.426,0.324000001875091,-0.3259999998196139
18.428,0.3220000018750885,-0.3279999998196164
18.43,0.3200000018750896,-0.3299999998196153
18.432,0.3180000018750908,-0.3319999998196141
18.434,0.3160000018750883,-0.3339999998196166
18.436,0.3140000018750894,-0.3359999998196155
18.438,0.3120000018750905,-0.3379999998196144
18.44,0.3100000018750881,-0.3399999998196168
18.442,0.3080000018750892,-0.3419999998196157
18.444,0.3060000018750903,-0.3439999998196146
18.446,0.3040000018750879,-0.345999999819617
18.448,0.302000001875089,-0.3479999998196159
18.45,0.3000000018750901,-0.3499999998196148
18.45000000018037,0.3000000016947188,-0.3499999999999861
18.45000000018037,0.3000000016947188,1
18.452,0.2980000018750888,0.9980000001803701
18.454,0.2960000018750891,0.9960000001803703
18.456,0.294000001875092,0.9940000001803732
18.458,0.2920000018750931,0.9920000001803743
18.46,0.2900000018750906,0.9900000001803718
18.462,0.2880000018750917,0.9880000001803729
18.464,0.2860000018750928,0.986000000180374
18.466,0.2840000018750904,0.9840000001803716
18.468,0.2820000018750915,0.9820000001803727
18.47,0.2800000018750926,0.9800000001803738
18.472,0.2780000018750901,0.9780000001803714
18.474,0.2760000018750912,0.9760000001803725
18.476,0.2740000018750923,0.9740000001803736
18.478,0.2720000018750899,0.9720000001803711
18.48,0.2700000018750945,0.9700000001803758
18.48,0.2700000018750945,0.9700000001803758
18.48,0.270000001875091,0.9700000001803722
18.482,0.2680000018750976,0.9680000001803789
18.484,0.2660000018750945,0.9660000001803758
18.486,0.2640000018750943,0.9640000001803756
18.488,0.2620000018750954,0.9620000001803767
18.49,0.2600000018750975,0.9600000001803787
18.492,0.258000001875095,0.9580000001803762
18.494,0.2560000018750961,0.9560000001803773
18.496,0.2540000018750972,0.9540000001803784
18.498,0.2520000018750948,0.952000000180376
18.5,0.2500000018750942,0.9500000001803754
18.502,0.2480000018750953,0.9480000001803766
18.504,0.2460000018750929,0.9460000001803741
18.506,0.244000001875094,0.9440000001803752
18.508,0.2420000018750951,0.9420000001803763
18.51,0.2400000018750926,0.9400000001803739
18.512,0.2380000018750937,0.938000000180375
18.514,0.2360000018750948,0.9360000001803761
18.516,0.234000001875096,0.9340000001803772
18.518,0.2320000018750935,0.9320000001803748
18.52,0.2300000018750947,0.930000000180376
18.522,0.2280000018750958,0.9280000001803771
18.524,0.2260000018750934,0.9260000001803746
18.526,0.2240000018750945,0.9240000001803758
18.528,0.2220000018750956,0.9220000001803769
18.53,0.2200000018750932,0.9200000001803744
18.532,0.2180000018750943,0.9180000001803755
18.534,0.2160000018750954,0.9160000001803766
18.536,0.2140000018750929,0.9140000001803742
18.538,0.212000001875094,0.9120000001803753
18.54,0.2100000018750952,0.9100000001803764
18.542,0.2080000018750927,0.908000000180374
18.544,0.2060000018750938,0.9060000001803751
18.546,0.2040000018750949,0.9040000001803762
18.548,0.202000001875096,0.9020000001803773
18.55,0.2000000018750936,0.9000000001803748
18.552,0.1980000018750947,0.898000000180376
18.554,0.1960000018750958,0.8960000001803771
18.556,0.1940000018750934,0.8940000001803746
18.558,0.1920000018750945,0.8920000001803757
18.56,0.1900000018750958,0.8900000001803771
18.562,0.1880000018750934,0.8880000001803746
18.564,0.1860000018750945,0.8860000001803757
18.566,0.1840000018750956,0.8840000001803768
18.568,0.1820000018750931,0.8820000001803744
18.57,0.1800000018750942,0.8800000001803755
18.572,0.1780000018750953,0.8780000001803766
18.574,0.1760000018750929,0.8760000001803742
18.576,0.174000001875094,0.8740000001803753
18.578,0.1720000018750951,0.8720000001803764
18.58,0.1700000018750962,0.8700000001803775
18.582,0.1680000018750938,0.868000000180375
18.584,0.1660000018750949,0.8660000001803762
18.586,0.164000001875096,0.8640000001803773
18.588,0.1620000018750936,0.8620000001803748
18.59,0.1600000018750947,0.8600000001803759
18.592,0.1580000018750958,0.858000000180377
18.594,0.1560000018750933,0.8560000001803746
18.596,0.1540000018750944,0.8540000001803757
18.598,0.1520000018750955,0.8520000001803768
18.6,0.1500000018750931,0.8500000001803744
18.602,0.1480000018750942,0.8480000001803755
18.604,0.1460000018750953,0.8460000001803766
18.606,0.1440000018750929,0.8440000001803741
18.608,0.142000001875094,0.8420000001803752
18.61,0.1400000018750951,0.8400000001803763
18.612,0.1380000018750962,0.8380000001803775
18.614,0.1360000018750938,0.836000000180375
18.616,0.1340000018750949,0.8340000001803761
18.618,0.132000001875096,0.8320000001803772
18.62,0.1300000018750935,0.8300000001803748
18.622,0.1280000018750946,0.8280000001803759
18.624,0.1260000018750957,0.826000000180377
18.626,0.1240000018750933,0.8240000001803746
18.628,0.1220000018750944,0.8220000001803757
18.63,0.1200000018750955,0.8200000001803768
18.632,0.1180000018750931,0.8180000001803743
18.634,0.1160000018750942,0.8160000001803754
18.636,0.1140000018750953,0.8140000001803765
18.638,0.1120000018750929,0.8120000001803741
18.64,0.1100000018750944,0.8100000001803757
18.642,0.1080000018750955,0.8080000001803768
18.644,0.1060000018750967,0.8060000001803779
18.646,0.1040000018750942,0.8040000001803754
18.648,0.1020000018750953,0.8020000001803765
18.65,0.1000000018750964,0.8000000001803776
18.65000000214548,0.09999999972961619,0.7999999980348974
18.65000000214548,1,0.7999999980348974
18.652,0.9980000021454776,0.798000000180375
18.654,0.996000002145477,0.7960000001803744
18.656,0.9940000021454781,0.7940000001803755
18.658,0.9920000021454758,0.7920000001803732
18.66,0.9900000021454769,0.7900000001803743
18.662,0.988000002145478,0.7880000001803754
18.664,0.9860000021454758,0.7860000001803732
18.666,0.9840000021454769,0.7840000001803743
18.668,0.982000002145478,0.7820000001803754
18.67,0.9800000021454756,0.780000000180373
18.672,0.9780000021454767,0.7780000001803741
18.674,0.9760000021454778,0.7760000001803752
18.676,0.9740000021454793,0.7740000001803767
18.678,0.9720000021454769,0.7720000001803743
18.68,0.970000002145478,0.7700000001803754
18.682,0.9680000021454791,0.7680000001803765
18.684,0.9660000021454767,0.7660000001803741
18.686,0.9640000021454778,0.7640000001803752
18.688,0.9620000021454789,0.7620000001803763
18.69,0.9600000021454764,0.7600000001803738
18.692,0.9580000021454775,0.7580000001803749
18.694,0.9560000021454786,0.7560000001803761
18.696,0.9540000021454762,0.7540000001803736
18.698,0.9520000021454773,0.7520000001803747
18.7,0.9500000021454793,0.7500000001803767
18.702,0.9480000021454769,0.7480000001803743
18.704,0.946000002145478,0.7460000001803754
18.706,0.9440000021454791,0.7440000001803765
18.708,0.9420000021454802,0.7420000001803776
18.71,0.9400000021454777,0.7400000001803752
18.712,0.9380000021454789,0.7380000001803763
18.714,0.93600000214548,0.7360000001803774
18.716,0.9340000021454775,0.7340000001803749
18.718,0.9320000021454786,0.732000000180376
18.72,0.9300000021454833,0.7300000001803807
18.72,0.9300000021454833,0.7300000001803807
18.72,0.9300000021454797,0.7300000001803771
18.722,0.9280000021454813,0.7280000001803787
18.724,0.9260000021454808,0.7260000001803782
18.726,0.9240000021454819,0.7240000001803794
18.728,0.9220000021454798,0.7220000001803772
18.73,0.9200000021454809,0.7200000001803784
18.732,0.9180000021454821,0.7180000001803795
18.734,0.9160000021454804,0.7160000001803778
18.736,0.9140000021454815,0.7140000001803789
18.738,0.9120000021454826,0.71200000018038
18.74,0.9100000021454837,0.7100000001803811
18.742,0.9080000021454813,0.7080000001803787
18.744,0.9060000021454824,0.7060000001803798
18.746,0.904000002145485,0.7040000001803824
18.748,0.9020000021454826,0.70200000018038
18.75,0.9000000021454837,0.7000000001803811
18.752,0.8980000021454848,0.6980000001803822
18.754,0.8960000021454824,0.6960000001803798
18.756,0.8940000021454835,0.6940000001803809
18.758,0.8920000021454846,0.692000000180382
18.76,0.8900000021454821,0.6900000001803795
18.762,0.8880000021454832,0.6880000001803807
18.764,0.8860000021454844,0.6860000001803818
18.766,0.8840000021454855,0.6840000001803829
18.768,0.882000002145483,0.6820000001803804
18.77,0.8800000021454836,0.680000000180381
18.772,0.8780000021454847,0.6780000001803821
18.774,0.8760000021454822,0.6760000001803796
18.776,0.8740000021454833,0.6740000001803808
18.778,0.8720000021454845,0.6720000001803819
18.78,0.870000002145482,0.6700000001803794
18.782,0.8680000021454831,0.6680000001803805
18.784,0.8660000021454842,0.6660000001803816
18.786,0.8640000021454818,0.6640000001803792
18.788,0.8620000021454829,0.6620000001803803
18.79,0.860000002145484,0.6600000001803814
18.792,0.8580000021454816,0.658000000180379
18.794,0.8560000021454827,0.6560000001803801
18.796,0.8540000021454838,0.6540000001803812
18.798,0.8520000021454849,0.6520000001803823
18.8,0.8500000021454824,0.6500000001803798
18.802,0.8480000021454835,0.648000000180381
18.804,0.8460000021454847,0.6460000001803821
18.806,0.8440000021454822,0.6440000001803796
18.808,0.8420000021454833,0.6420000001803807
18.81,0.8400000021454844,0.6400000001803818
18.812,0.838000002145482,0.6380000001803794
18.814,0.8360000021454831,0.6360000001803805
18.816,0.8340000021454842,0.6340000001803816
18.818,0.8320000021454818,0.6320000001803792
18.82,0.8300000021454819,0.6300000001803792
18.822,0.828000002145483,0.6280000001803803
18.824,0.8260000021454805,0.6260000001803778
18.826,0.8240000021454816,0.6240000001803789
18.828,0.8220000021454827,0.62200000018038
18.83,0.8200000021454839,0.6200000001803812
18.832,0.8180000021454814,0.6180000001803787
18.834,0.8160000021454825,0.6160000001803798
18.836,0.8140000021454836,0.6140000001803809
18.838,0.8120000021454812,0.6120000001803785
18.84,0.8100000021454823,0.6100000001803796
18.842,0.8080000021454834,0.6080000001803807
18.844,0.806000002145481,0.6060000001803783
18.846,0.8040000021454821,0.6040000001803794
18.848,0.8020000021454832,0.6020000001803805
18.85,0.8000000021454807,0.600000000180378
18.85000000032052,0.8000000018249656,0.5999999998598629
18.85000000032052,0.8000000018249656,0.5999999998598629
18.852,0.7980000021454806,0.5980000001803779
18.854,0.7960000021454822,0.5960000001803795
18.856,0.7940000021454797,0.594000000180377
18.858,0.7920000021454817,0.592000000180379
