"time","sAc.con.concentration","sNe.con.concentration","vNe.con.concentration","wNe.con.concentration","baro.broad.xbroad","blood.vessel.pressure","lung.resp.phase","lung.signal.activation","sNeRelease.inhibition_signal","sym.signal.activation","heart.contraction.T","baro.signal.activation","para.signal.activation"
0.406,0.3071455590405026,0.1284349314580665,0.1244313039333768,0.1335753057859407,72.50468723360493,138.0323946298583,-0.595383839708355,0.1117567436564607,88.93648688642074,0,1,72.50468723360493,88.93648688642074
0.407,0.3071157751906794,0.1284538922932061,0.124441786322102,0.1336070703193316,72.41458774844158,137.9343165169682,-0.5966451474642321,0.1112623168506796,88.81412288049978,0,1,72.41458774844158,88.81412288049978
0.408,0.3070796362158548,0.1284728962776192,0.1244522924078566,0.1336388269126333,72.32449522082887,137.8363098608522,-0.5979049830575188,0.1107688492164883,88.69185511751787,0,1,72.32449522082887,88.69185511751787
0.409,0.3070368926512203,0.128491946412716,0.1244628236976573,0.1336705755679965,72.23441011631505,137.738374603273,-0.5991633433796958,0.1102763419714693,88.56968405005487,0,1,72.23441011631505,88.56968405005487
0.41,0.3069870375137307,0.1285110477309255,0.1244733827142965,0.1337023162879634,72.14433290040708,137.6405106753545,-0.6004202253258839,0.1097847963308352,88.44761013001229,0,1,72.14433290040708,88.44761013001229
0.411,0.306930182259864,0.1285302000873145,0.1244839693893588,0.1337340490738457,72.05426403731508,137.5427180416207,-0.6016756257948522,0.109294213507426,88.32563380730745,0,1,72.05426403731508,88.32563380730745
0.412,0.3068662083930871,0.1285494052780298,0.1244945846259997,0.1337657739274438,71.96420399009166,137.4449966533344,-0.6029295416890247,0.1088045947117059,88.20375553002197,0,1,71.96420399009166,88.20375553002197
0.413,0.3067951152220994,0.1285686644573712,0.1245052290082406,0.1337974908509075,71.87415322129644,137.3473464523824,-0.6041819699144884,0.108315941151761,88.08197574509649,0,1,71.87415322129644,88.08197574509649
0.414,0.3067168606342663,0.128587978931872,0.1245159031951513,0.1338291998461266,71.78411219291478,137.2497673876613,-0.6054329073810013,0.107828254033295,87.96029489824865,0,1,71.78411219291478,87.96029489824865
0.415,0.3066315129556928,0.1286073485751895,0.1245266071259952,0.1338609009138336,71.69408136616566,137.152259439395,-0.6066823510019996,0.1073415345596276,87.83871343377555,0,1,71.69408136616566,87.83871343377555
0.416,0.3065391263734203,0.1286267742794463,0.1245373412546633,0.1338925940565006,71.60406120258592,137.0548225407822,-0.6079302976946054,0.1068557839316906,87.71723179568477,0,1,71.60406120258592,87.71723179568477
0.417,0.3064398110965716,0.1286462562400518,0.1245481056853942,0.1339242792761432,71.51405216397191,136.957456637434,-0.6091767443796341,0.1063710033480255,87.59585042763526,0,1,71.51405216397191,87.59585042763526
