"time","blood.vessel.pressure","cNeAmount.con.concentration","lung.r","vNeAmount.con.concentration","baro.signal.activation","cNeEmit.trigger.activation","para.signal.activation","heart.tlast","symp.signal.activation"
0.096,110.1302318179204,0.02382834466720817,0.5274285714285714,0.03320158732954284,1.233206348209859,0,0.0586616440123901,0,0
0.097,110.1542011912903,0.02381643347292785,0.5277142857142857,0.0332849656895051,1.232395075361946,0,0.05862798587955701,0,0
0.098,110.1771458125628,0.02380452823275573,0.5279999999999999,0.03336830237070992,1.231581932740351,0,0.05859423799243747,0,0
0.099,110.1990804067597,0.02379262894371556,0.5282857142857142,0.03345159739399112,1.230766999974582,0,0.05856040350934689,0,0
0.1,110.2200195029733,0.02378073560283259,0.5285714285714286,0.03353485078017188,1.229950355017244,0,0.0585264855222461,0,0
0.101,110.2399774343663,0.0237688482071336,0.5288571428571428,0.03361806255006487,1.229132074121966,0,0.05849248705586691,0,0
0.102,110.2589683381713,0.02375696675364685,0.5291428571428571,0.03370123272447211,1.228312231821517,0,0.05845841106684579,0,0
0.103,110.2770061556914,0.02374509123940214,0.5294285714285714,0.03378436132418509,1.227490900906151,0,0.05842426044286616,0,0
0.104,110.2941047981417,0.02373322166143057,0.5297142857142857,0.03386744836998604,1.226668155718975,0,0.05839003813315496,0,0
0.105,110.3102817958247,0.02372135801676047,0.5299999999999999,0.03395049388267675,1.22584414511821,0,0.05835575003778814,0,0
0.106,110.3255478991965,0.02370950030242909,0.5302857142857142,0.0340334978829964,1.225018884477457,0,0.05832139677090122,0,0
0.107,110.3399165062031,0.023697648515472,0.5305714285714286,0.03411646039169604,1.22419244421157,0,0.05828698112631395,0,0
0.108,110.3534008338168,0.02368580265292625,0.5308571428571428,0.03419938142951633,1.223364893186732,0,0.05825250583656905,0,0
0.109,110.3660139180363,0.02367396271183038,0.5311428571428571,0.03428226101718736,1.222536298699994,0,0.05821797357212213,0,0
0.11,110.3777686138866,0.02366212868922445,0.5314285714285714,0.03436509917542888,1.221706726459011,0,0.05818338694053916,0,0
0.111,110.3886775954189,0.02365030058214999,0.5317142857142857,0.03444789592495012,1.22087624056197,0,0.05814874848570167,0,0
0.112,110.3987533557107,0.02363847838765003,0.5319999999999999,0.03453065128644983,1.220044903477713,0,0.05811406068701945,0,0
0.113,110.4080082068659,0.02362666210276909,0.5322857142857143,0.03461336528061638,1.219212776026042,0,0.05807932595865073,0,0
0.114,110.4164542800145,0.02361485172455321,0.5325714285714286,0.03469603792812759,1.218379917358218,0,0.05804454664872994,0,0
0.115,110.4241087876348,0.02360304725004998,0.5328571428571428,0.03477866924965023,1.217546490184079,0,0.05800972920636141,0,0
0.116,110.4309809862435,0.02359124867630836,0.5331428571428571,0.03486125926584154,1.216712500006715,0,0.05797487385531268,0,0
0.117,110.4370821682421,0.02357945600037886,0.5334285714285714,0.03494380799734807,1.215877994940439,0,0.05793998250680599,0,0
0.118,110.4424240862212,0.02356766921931347,0.5337142857142857,0.03502631546480579,1.215043034178102,0,0.05790505751082404,0,0
0.119,110.4470183313854,0.02355588833016569,0.5339999999999999,0.03510878168884023,1.214207675541007,0,0.05787010116308642,0,0
0.12,110.4508763335537,0.02354411332999052,0.5342857142857143,0.03519120669006643,1.213371975460489,0,0.05783511570432037,0,0
0.121,110.4540093611591,0.02353234421584443,0.5345714285714285,0.03527359048908903,1.21253598895968,0,0.0578001033195384,0,0
0.122,110.4564285212488,0.02352058098478542,0.5348571428571428,0.03535593310650216,1.211699769635443,0,0.05776506613732309,0,0
0.123,110.4581447594843,0.02350882363387294,0.5351428571428571,0.03543823456288948,1.210863369640477,0,0.05773000622911829,0,0
0.124,110.4591688601411,0.02349707216016797,0.5354285714285714,0.03552049487882426,1.210026839665597,0,0.05769492560852744,0,0
0.125,110.4595148444312,0.02348532656072818,0.5357142857142857,0.03560271407490286,1.209190296888625,0,0.05765982892208956,0,0
0.1250000001125019,110.4595148444324,0.0234853265594071,0.5357142857464291,0.03560271408415035,1.209190296794514,0,0.05765982891814032,0,0
0.1250000001125019,110.4595148444324,0.0234853265594071,0.5357142857464291,0.03560271408415035,1.158973287880028,0.02341384806961888,0.05567123536512666,0,0.02341384806961888
0.126,110.419347636877,0.02347358683257739,0.536,0.03568489217195835,1.15818593091086,0.02404361333314831,0.05563807088436359,0,0.02404361333314831
0.127,110.3791932123805,0.02346185297218355,0.5362857142857144,0.03576702919471528,1.157398825921758,0.02467317607042097,0.05560490083564958,0,0.02467317607042097
0.128,110.3390515709394,0.02345012497499484,0.5365714285714286,0.03584912517503622,1.156611972912409,0.02530253628209178,0.05557172522564233,0,0.02530253628209178
0.129,110.2989227122264,0.02343840284068521,0.5368571428571429,0.03593118011520365,1.155825371876725,0.02593169397342499,0.05553854406059856,0,0.02593169397342499
0.13,110.2588066308545,0.02342668656389144,0.5371428571428571,0.03601319405276,1.155039022708743,0.02656064922958745,0.05550535734286994,0,0.02656064922958745
0.131,110.2187033278227,0.02341497614560819,0.5374285714285715,0.03609516698074276,1.154252925428543,0.02718940203491549,0.0554721650798495,0,0.02718940203491549
0.132,110.178612796375,0.02340327157911257,0.5377142857142857,0.03617709894621216,1.153467079903131,0.02781795249620755,0.05543896727291852,0,0.02781795249620755
0.133,110.138535037134,0.02339157286502408,0.5379999999999999,0.0362589899448316,1.15268148614514,0.02844630060376196,0.0554057639292752,0,0.02844630060376196
0.134,110.0984700440332,0.02337987999730894,0.5382857142857143,0.03634084001883751,1.151896144035173,0.02907444645350654,0.0553725550509392,0,0.02907444645350654
0.135,110.0584178169442,0.02336819297583937,0.5385714285714285,0.03642264916912453,1.151111053571028,0.02970239004761432,0.05533934064462116,0,0.02970239004761432
0.136,110.0183783522805,0.02335651179705082,0.5388571428571428,0.03650441742064438,1.150326214682246,0.03033013144286778,0.05530612071437861,0,0.03033013144286778
0.137,109.9783516464069,0.0233448364573297,0.5391428571428571,0.03658614479869222,1.149541627297399,0.03095767069682642,0.05527289526428067,0,0.03095767069682642
0.138,109.9383376973885,0.02333316695475248,0.5394285714285714,0.03666783131673275,1.148757291378611,0.03158500784021268,0.05523966429977496,0,0.03158500784021268
0.139,109.8983365025456,0.02332150328665525,0.5397142857142857,0.03674947699341334,1.147973206873299,0.03221214291551788,0.05520642782577653,0,0.03221214291551788
0.14,109.8583480582611,0.02330984544944594,0.54,0.03683108185387853,1.147189373710378,0.03283907598003644,0.05517318584651767,0,0.03283907598003644
0.141,109.8183723614106,0.02329819344002014,0.5402857142857144,0.03691264591985915,1.146405791828472,0.03346580708329816,0.05513993836666502,0,0.03346580708329816
0.142,109.7784094093715,0.02328654725577072,0.5405714285714286,0.03699416920960507,1.145622461176114,0.03409233626691199,0.05510668539132717,0,0.03409233626691199
0.143,109.7384591992034,0.02327490689377545,0.5408571428571429,0.03707565174357197,1.144839381695547,0.03471866357751807,0.05507342692541368,0,0.03471866357751807
0.144,109.6985217275535,0.0232632723507112,0.5411428571428573,0.0371570935450217,1.14405655332088,0.03534478906826888,0.05504016297356155,0,0.03534478906826888
0.145,109.6585969911803,0.02325164362336278,0.5414285714285715,0.03723849463646066,1.143273975988404,0.03597071279057362,0.05500689354054407,0,0.03597071279057362
0.146,109.6186849872539,0.02324002070891585,0.5417142857142858,0.03731985503758916,1.142491649642535,0.03659643478934516,0.05497361863150582,0,0.03659643478934516
0.147,109.5787857127275,0.02322840360434475,0.5420000000000001,0.03740117476958691,1.141709574223396,0.03722195511293269,0.05494033825147121,0,0.03722195511293269
0.148,109.5388991648337,0.02321679230691915,0.5422857142857144,0.0374824538515661,1.140927749676624,0.03784727380527875,0.05490705240573252,0,0.03784727380527875
0.149,109.4990253408702,0.02320518681397779,0.5425714285714287,0.03756369230215558,1.14014617594914,0.03847239090929999,0.05487376109968261,0,0.03847239090929999
0.15,109.4591642376648,0.02319358712236226,0.5428571428571429,0.03764489014346428,1.139364852978569,0.03909730647535337,0.05484046433839582,0,0.03909730647535337
0.151,109.4193158522598,0.02318199322914152,0.5431428571428573,0.03772604739600948,1.13858378070678,0.03972202055040475,0.05480716212716405,0,0.03972202055040475
